Utterance,Original_Labels,DeepSeek
Hello? It's the deli again! (surprise),Statement Non Opinion,Statement Non Opinion
All right! I'll have a sandwich! (joy),Statement Non Opinion,Statement Opinion
I don't think this number's right! (sadness),Statement Opinion,Statement Non Opinion
Oh come on!! (sadness),Others,Statement Non Opinion
"Gotta go. I miss you too, I love you, but it's getting real late now (sadness)",Statement Non Opinion,Statement Non Opinion
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma? (surprise)",Question,Question
Her name's Ronni. She's a pet mortician. (neutral),Answer,Statement Non Opinion
Sure. So how long you been... (neutral),Question,Backchannel
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships? (neutral)",Statement Non Opinion,Question
Since then?! (surprise),Question,Question
"No, it's only been six years. (neutral)",Answer,Statement Non Opinion
I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy. (neutral),Statement Opinion,Statement Opinion
...Joe. (neutral),Others,Greeting
Y'ever been in love? (neutral),Question,Question
...I d'know. (neutral),Answer,Statement Non Opinion
Then y'haven't. You're burning your tomatoes. (neutral),Statement Non Opinion,Statement Non Opinion
You're one to talk. (disgust),Statement Non Opinion,Disagreement
"Joe, your dad's in love big time. And the worst part of it is, it's with two different women. (neutral)",Statement Non Opinion,Statement Opinion
Oh man. Please tell me one of 'em is Ma. (disgust),Statement Opinion,Question
"Of course, course one of 'em's Ma. What's the matter with you. (surprise)",Statement Non Opinion,Statement Opinion
"Everything's gonna be all right. Okay, Dick? (neutral)",Statement Opinion,Statement Non Opinion
"Hello, I am Guru Saj--Whoa!! That's supposed to be a duck right? 'Cause otherwise, this is waaay out of my league. (surprise)",Statement Non Opinion,Statement Opinion
"Hey, Rach, how was work? (neutral)",Question,Greeting
"Oh, great. Although I did sit down where there wasn't a chair. (neutral)",Answer,Statement Non Opinion
"By the way, Ross dropped by a box of your stuff. (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh, well, I guess I had that one coming. (neutral)",Statement Non Opinion,Statement Opinion
"I'm just gonna throw it out, it's probably just a bunch of shampoo and... (neutral)",Statement Non Opinion,Statement Non Opinion
Something wrong? (neutral),Question,Question
No. Nothing. (neutral),Answer,Statement Non Opinion
"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century. (neutral)",Statement Non Opinion,Statement Non Opinion
"Yeah, that's it? (surprise)",Backchannel,Question
Yeah. (neutral),Others,Acknowledge
"Dude, I am sorry about what I said! (sadness)",Apology,Apology
"No, no, you're right, it is a ridiculous name! (disgust)",Agreement,Agreement
It's not that bad. (neutral),Statement Non Opinion,Disagreement
"Yes it is! From now on, I have no first name. (anger)",Disagreement,Statement Opinion
"So, you're just Bing? (neutral)",Question,Question
Because we won our apartment back! (joy),Answer,Statement Opinion
"What? Ace is high! Jack, queen, king, ace! (surprise)",Statement Non Opinion,Disagreement
"No! Ace is low! Ace, two, three, four! (anger)",Statement Non Opinion,Disagreement
I don't know. Ooh! Ooh! Look it! Ah-ha! (surprise),Statement Non Opinion,Statement Non Opinion
"All right, cut, let's pick again, pick again. (neutral)",Statement Opinion,Command
Okay. (neutral),Agreement,Acknowledge
Come on apartment! Come on apartment! Oh! I know queen is high! (anger),Statement Non Opinion,Statement Opinion
"Uh-huh, not as high as... It worked! King! (surprise)",Disagreement,Statement Opinion
Yeah baby! (joy),Backchannel,Agreement
"But, we pick again! We pick again! (joy)",Statement Opinion,Statement Opinion
Why?! (neutral),Question,Question
I don't know! (fear),Answer,Statement Non Opinion
Tickets please! That's courtside baby! (joy),Statement Non Opinion,Statement Opinion
"Seriously, good game though. Good game. What are they so mad about? They get the apartment back! (surprise)",Question,Question
No they didn't! (joy),Answer,Disagreement
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil? (neutral)",Question,Statement Non Opinion
It's gonna be worth it. (neutral),Statement Opinion,Statement Non Opinion
"It's a known fact that women love babies, all right? (neutral)",Statement Non Opinion,Statement Non Opinion
Women love guys who love babies. (neutral),Statement Opinion,Statement Non Opinion
It's that whole sensitive thing. (neutral),Statement Non Opinion,Statement Non Opinion
"Quick, aim him at that pack o' babes over there. (neutral)",Others,Command
Maybe one of them will break away. (neutral),Statement Opinion,Statement Non Opinion
"No, no wait, for get them, we got one, hard left. (joy)",Statement Non Opinion,Statement Opinion
"All right, gimme the baby. (neutral)",Statement Non Opinion,Command
"No, I got him. (neutral)",Disagreement,Statement Non Opinion
"Oh, seriously you want him? (surprise)",Question,Question
Hello. (neutral),Greeting,Greeting
"Well, don't, don't think me immodest, but, me? (surprise)",Statement Opinion,Statement Opinion
You wanna smell him? (neutral),Question,Question
"Oh, yeah. He's got that great baby smell. Get a whiff of his head. (joy)",Statement Opinion,Statement Opinion
What'd I tell you? What'd I tell you? (joy),Question,Statement Opinion
"Well, we are great guys. (neutral)",Statement Opinion,Statement Opinion
"Well, not really. (neutral)",Others,Disagreement
"I mean technically it's-it's not against the rules or anything, but it is frowned upon. (neutral)",Statement Non Opinion,Statement Non Opinion
"Especially by that professor we ran into last night, Judgey von Holierthanthou. (anger)",Statement Non Opinion,Statement Opinion
"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents. (joy)",Statement Opinion,Statement Opinion
Yeah. What-what should I do? (fear),Question,Question
"Well Ross, it seems pretty clear. (neutral)",Answer,Statement Non Opinion
I mean what's more important? (neutral),Question,Question
"What people think or how you feel, huh? (neutral)",Question,Question
"Ross, you gotta follow your heart. (neutral)",Answer,Command
Joey that is so sweet. (joy),Apology,Statement Opinion
Hey. (neutral),Greeting,Greeting
"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday? (neutral)",Question,Question
I couldn't do it. (sadness),Answer,Statement Non Opinion
You couldn't do it?! (surprise),Question,Question
"Hey, relax I just need more time. We're going to dinner tonight. (neutral)",Answer,Command
What?! You're going out with her again! (surprise),Question,Question
Going out with who? (neutral),Question,Question
"Uh, Dana Keystone from college. (neutral)",Answer,Statement Non Opinion
Oh yeah! Wasn't she uh (surprise),Others,Question
"No, that was Dana Caplin. (neutral)",Disagreement,Statement Non Opinion
Joey! You didn't even know her! (surprise),Statement Non Opinion,Statement Opinion
Ah whatever! (anger),Others,Disagreement
"Morning! Hey, how's my favorite genius and my little robot buddy?! (joy)",Question,Greeting
Don't touch him! (anger),Command,Command
Okay! (surprise),Agreement,Acknowledge
All right. (neutral),Statement Non Opinion,Backchannel
"Umm, all right Wayne, level with me. (neutral)",Statement Non Opinion,Statement Non Opinion
I-I keep hearing all these rumors that I might get fired. (fear),Statement Non Opinion,Statement Opinion
"Okay, they even have actors coming in to read for my part! (fear)",Statement Non Opinion,Statement Opinion
"Come on man, you-you got to give me a second chance! (sadness)",Statement Opinion,Command
"I mean, I love-I love this little guy! (joy)",Statement Non Opinion,Statement Opinion
Ah-ah!! (surprise),Backchannel,Others
"Okay, that's why you didn't want me to touch him right? (surprise)",Question,Question
Here you go! (neutral),Statement Non Opinion,Statement Non Opinion
Okay? (neutral),Others,Question
Stupid! (anger),Others,Statement Opinion
I can't believe it! (surprise),Statement Non Opinion,Statement Opinion
God! (anger),Others,Others
"Hey, how you doin'? (neutral)",Question,Greeting
Hey. (neutral),Greeting,Greeting
"Hi. Look um, about what happened earlier... (sadness)",Statement Non Opinion,Greeting
"No, hey, well, I-I completely understand. You were, you were stressed. (neutral)",Statement Opinion,Agreement
I was gonna give you a chance to apologise to me. (disgust),Statement Non Opinion,Statement Opinion
For what? For letting you throw me out of your office? (anger),Disagreement,Question
You had no (anger),Others,Statement Non Opinion
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I. (anger)",Statement Non Opinion,Statement Opinion
"But I told you, I didn't have the time! (anger)",Statement Non Opinion,Statement Non Opinion
"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel. (anger)",Statement Non Opinion,Statement Opinion
"Wh, Ross what do you want from me? (anger)",Question,Question
"You want me, you want me to quit my job so you can feel like you have a girlfriend? (anger)",Statement Opinion,Question
Bye. (neutral),Greeting,Greeting
I know. (neutral),Agreement,Acknowledge
"Ooh, I have to tell you something. (joy)",Statement Non Opinion,Statement Non Opinion
What? (neutral),Question,Question
But I can't tell you. (neutral),Answer,Statement Non Opinion
"Okay, but wouldn't it be easier if you had to tell me something that you could tell me. (neutral)",Statement Opinion,Statement Opinion
"Well, sure in a perfect world. But, no, I promised I wouldn't tell, and I swore to like all my gods. (neutral)",Statement Non Opinion,Statement Opinion
Okay. Does it have to do with Ross and Rachel? (neutral),Question,Question
No. (neutral),Answer,Answer
Does it have to do with Joey? (neutral),Question,Question
No. (neutral),Answer,Answer
Does it have to do with-with Chandler and that sock that he keeps by his bed? (neutral),Question,Question
"No, but let's come back to that later! (neutral)",Answer,Statement Non Opinion
Hi! (joy),Greeting,Greeting
Richard! (joy),Others,Greeting
"Actually, I'm not here to complement the chef. (neutral)",Statement Non Opinion,Statement Non Opinion
"Ohh... Oh, that's okay I hate when people come back to complement the chef. (neutral)",Statement Opinion,Statement Opinion
Like I have nothing better to do! (neutral),Statement Non Opinion,Statement Opinion
So what's up? (neutral),Question,Question
"Well, it was great seeing you the other night. (joy)",Answer,Statement Opinion
"Oh, good to see you too. Did you come down here to tell me that? (neutral)",Question,Acknowledge
No! I came here to tell you something else. I came here to tell you I still love you. (joy),Answer,Statement Opinion
"One pregnant woman at a time, please! I just want you to be okay. (disgust)",Statement Opinion,Command
So forcing her to marry Bobby is gonna make that happen? (sadness),Question,Question
"Maybe! Well! Well...so-so uh, what kind of music does Numb Nuts--Oh forget it! I can't! (anger)",Answer,Statement Opinion
"Joey, I am scared to death about this. (fear)",Statement Non Opinion,Statement Opinion
"But I really think I can do it, I'm just gonna need some help. (fear)",Statement Opinion,Statement Opinion
And Bobby's gonna be here the whole time. (neutral),Statement Non Opinion,Statement Non Opinion
"You bet I am! And to answer your earlier question, we're straight-up gangster rap. (joy)",Statement Non Opinion,Statement Opinion
"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me? (anger)",Question,Question
