Utterance,Emotion,"No,DS_r1_emotion"
"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday? (neutral)",neutral,joy
I couldn't do it. (sadness),sadness,sadness
You couldn't do it?! (surprise),surprise,surprised
"Hey, relax I just need more time. We're going to dinner tonight. (neutral)",neutral,neutral
What?! You're going out with her again! (surprise),surprise,surprised
Going out with who? (neutral),neutral,neutral
"Uh, Dana Keystone from college. (neutral)",neutral,neutral
Oh yeah! Wasn't she uh (surprise),surprise,neutral
"No, that was Dana Caplin. (neutral)",neutral,neutral
Joey! You didn't even know her! (surprise),surprise,anger
Ah whatever! (anger),anger,disgust
"Morning! Hey, how's my favorite genius and my little robot buddy?! (joy)",joy,joy
Don't touch him! (anger),anger,anger
Okay! (surprise),surprise,neutral
All right. (neutral),neutral,neutral
"Umm, all right Wayne, level with me. (neutral)",neutral,neutral
I-I keep hearing all these rumors that I might get fired. (fear),fear,fear
"Okay, they even have actors coming in to read for my part! (fear)",fear,surprised
"Come on man, you-you got to give me a second chance! (sadness)",sadness,fear
"I mean, I love-I love this little guy! (joy)",joy,joy
Ah-ah!! (surprise),surprise,surprised
"Okay, that's why you didn't want me to touch him right? (surprise)",surprise,neutral
Here you go! (neutral),neutral,neutral
Okay? (neutral),neutral,neutral
Stupid! (anger),anger,anger
I can't believe it! (surprise),surprise,surprised
God! (anger),anger,anger
"Hey, how you doin'? (neutral)",neutral,neutral
Hey. (neutral),neutral,neutral
"Hi. Look um, about what happened earlier... (sadness)",sadness,neutral
"No, hey, well, I-I completely understand. You were, you were stressed. (neutral)",neutral,neutral
I was gonna give you a chance to apologise to me. (disgust),disgust,anger
For what? For letting you throw me out of your office? (anger),anger,anger
You had no (anger),anger,anger
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I. (anger)",anger,anger
"But I told you, I didn't have the time! (anger)",anger,anger
"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel. (anger)",anger,sadness
"Wh, Ross what do you want from me? (anger)",anger,anger
"You want me, you want me to quit my job so you can feel like you have a girlfriend? (anger)",anger,anger
Bye. (neutral),neutral,anger
I know. (neutral),neutral,neutral
"Ooh, I have to tell you something. (joy)",joy,surprised
What? (neutral),neutral,neutral
But I can't tell you. (neutral),neutral,neutral
"Okay, but wouldn't it be easier if you had to tell me something that you could tell me. (neutral)",neutral,neutral
"Well, sure in a perfect world. But, no, I promised I wouldn't tell, and I swore to like all my gods. (neutral)",neutral,neutral
Okay. Does it have to do with Ross and Rachel? (neutral),neutral,neutral
No. (neutral),neutral,neutral
Does it have to do with Joey? (neutral),neutral,neutral
No. (neutral),neutral,neutral
Does it have to do with-with Chandler and that sock that he keeps by his bed? (neutral),neutral,neutral
"No, but let's come back to that later! (neutral)",neutral,surprised
Hi! (joy),joy,neutral
Richard! (joy),joy,surprised
"Actually, I'm not here to complement the chef. (neutral)",neutral,neutral
"Ohh... Oh, that's okay I hate when people come back to complement the chef. (neutral)",neutral,disgust
Like I have nothing better to do! (neutral),neutral,anger
So what's up? (neutral),neutral,neutral
"Well, it was great seeing you the other night. (joy)",joy,joy
"Oh, good to see you too. Did you come down here to tell me that? (neutral)",neutral,neutral
No! I came here to tell you something else. I came here to tell you I still love you. (joy),joy,joy
"One pregnant woman at a time, please! I just want you to be okay. (disgust)",disgust,neutral
So forcing her to marry Bobby is gonna make that happen? (sadness),sadness,disgust
"Maybe! Well! Well...so-so uh, what kind of music does Numb Nuts--Oh forget it! I can't! (anger)",anger,anger
"Joey, I am scared to death about this. (fear)",fear,fear
"But I really think I can do it, I'm just gonna need some help. (fear)",fear,neutral
And Bobby's gonna be here the whole time. (neutral),neutral,neutral
"You bet I am! And to answer your earlier question, we're straight-up gangster rap. (joy)",joy,joy
"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me? (anger)",anger,sadness
Because! 'Cause... 'Cause you're my baby sister! (sadness),sadness,neutral
And you're my big brother! (joy),joy,joy
"I mean, you're my favorite guy in the whole world. (neutral)",neutral,joy
I'm not even scared to tell mom and dad. (neutral),neutral,neutral
I was scared of telling you. (fear),fear,fear
"Well I'd be scared of them, but all right. (fear)",fear,neutral
"Joey, I can't stand the thought of having this baby with you mad at me. (sadness)",sadness,sadness
I want him to have his uncle. (sadness),sadness,neutral
Is my baby gonna have his Uncle Joey? (sadness),sadness,fear
Of course he's gonna have his Uncle Joey! (joy),joy,joy
"We're gonna be all right. I mean, even if we're not married this baby is gonna be so loved. Not just by us. (joy)",joy,joy
That's right! By his uncle too! (joy),joy,joy
And by you. (joy),joy,joy
"Okay Bobby, why don't we just come over here and let them have a little moment. (neutral)",neutral,neutral
Come here! (joy),joy,joy
No! Seriously! What's wrong with you?! (anger),anger,anger
I had a really nice time tonight. (joy),joy,joy
So did I. I'm really glad Monica asked us out. (joy),joy,joy
"I'd love to ask you in, but uh, my sister's visiting and I think she's asleep on the couch. (neutral)",neutral,neutral
You're sister? You're sister's asleep on the couch? Ohhh! I saw (surprise),surprise,surprised
"Oh hey, great, you're up. Rachel, this is my sister Krista. Krista, this is Rachel. (neutral)",neutral,neutral
Hi! (joy),joy,neutral
"Nice to meet you. I wish you'd told me we were having company, I'd fix myself up! (surprise)",surprise,neutral
Like it would help. (neutral),neutral,joy
You are so bad! (joy),joy,joy
You are! (joy),joy,joy
You are! (joy),joy,joy
You are! (joy),joy,joy
You are! (joy),joy,joy
You are! (joy),joy,joy
You are! (joy),joy,joy
You are so dead! I'm gonna get you. (joy),joy,joy
"Uh, it was very nice meeting you. (neutral)",neutral,neutral
"Oh my God, it's that Victoria's Secret model. Something... something Goodacre. (surprise)",surprise,surprised
"Hi Mom, it's Jill. (neutral)",neutral,neutral
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! (surprise)",surprise,surprised
"Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule. (neutral)",neutral,neutral
Jill says vestibule... I'm going with vestibule. (neutral),neutral,neutral
"I'm fine. No, I'm not alone... I don't know, some guy. (neutral)",neutral,neutral
"Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was (joy)",joy,surprised
Are you seeing anybody right now? (neutral),neutral,fear
"Og-ee-op, I'm not asking for me, I'm... I mean... No, I'm-I'm not gay, I'm not asking you out. (fear)",fear,fear
I'm not-I'm not-I'm not gay! (fear),fear,fear
Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy? (neutral),neutral,surprised
Uh-huh. (neutral),neutral,neutral
That sounds great! (surprise),surprise,joy
Hey! (neutral),neutral,surprised
"Umm, excuse me, we switched apartments. You can't eat are food anymore, that-that gravy train had ended. (anger)",anger,anger
There's gravy? (surprise),surprise,surprised
If you have the big apartment you have to deal with people coming over all the time. (neutral),neutral,neutral
"That fridge has got to be stocked, okay, that's your department now. (neutral)",neutral,neutral
What are you doing? (neutral),neutral,surprised
I think I left a donut up here. (neutral),neutral,neutral
"So, in conclusion, the lines all go up , so I'm happy. (neutral)",neutral,joy
Great job team! (joy),joy,joy
Tomorrow at 8:30. (neutral),neutral,neutral
Phil! (joy),joy,neutral
Nice job. (joy),joy,joy
Stevens! (joy),joy,neutral
Way to go! (joy),joy,joy
"Joel-burg, you maniac! (joy)",joy,joy
I love ya! (joy),joy,joy
Bing! (joy),joy,joy
"Oh, excuse me. I forgot my briefcase y'know, by accident. (neutral)",neutral,neutral
"Of course, you did. (joy)",joy,disgust
Forgot something else too ya bastard! (joy),joy,anger
"Well, what about you? (neutral)",neutral,anger
You're not feeling left out or anything are ya? (neutral),neutral,disgust
"No. No, not at all, that's-that's ridiculous. (sadness)",sadness,fear
"Everybody else got one, and you want one too. Don't you? (joy)",joy,anger
"Ye-ye-yeah, yes I do! (sadness)",sadness,fear
"Now get on out of here, you! (joy)",joy,anger
Hey Bob. (neutral),neutral,neutral
Hey! How's my pal Toby doing today? (joy),joy,joy
"If I see him, I'll ask. (neutral)",neutral,neutral
Toby! (joy),joy,joy
Yeah! (joy),joy,joy
Oh then you know each other. (neutral),neutral,surprised
We're on a semi-first name basis. (neutral),neutral,neutral
What do you think of adding him to our team? (neutral),neutral,neutral
"Bob? Ooh, working here with us? Everyday? Yeah, I don't know if he has what it takes. (surprise)",surprise,disgust
Really? They love him down on six. (surprise),surprise,surprised
But this is eleven. It's almost twice as hard up here. (neutral),neutral,disgust
Hey! Guess what I got for your wedding! (joy),joy,joy
A freakish thin date with a hanger for her head? (neutral),neutral,disgust
"No. Rachel hooked me up with a tux! But not just any tux, Batman's tux! (joy)",joy,joy
What? (surprise),surprise,surprised
That's right! Made expressly for Val Kilmer and worn by him in the hit film...that Batman film he was in. (joy),joy,joy
You can't wear that! I'm wearing the famous tux! James Bond's tux! (anger),anger,fear
So? (neutral),neutral,neutral
So--If you wear that you'll make mine less special. (sadness),sadness,fear
"Sorry, I just don't like the idea of when I say ""I do,"" he's thinking, ""Yeah, I'd do her too!"" (anger)",anger,disgust
Well then we still have a problem. (neutral),neutral,neutral
Yeah! (neutral),neutral,neutral
With what? (neutral),neutral,neutral
"Well, we're trying to find someone to perform our wedding and they're all either boring or annoying or y'know, can't stop staring at the ladies. (neutral)",neutral,disgust
Oo! You should have one of us do it! (joy),joy,joy
"Phoebe, we're getting (neutral)",neutral,neutral
No! No! It's-it's uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff! (joy),joy,joy
I call it!! (joy),joy,joy
What?! No! It was my idea! (anger),anger,surprised
Guys thank you very much but neither of you is marrying us. (neutral),neutral,neutral
Does calling it not mean anything anymore?! (anger),anger,anger
"We are going to have a legitimate member of the clergy! And when I say legitimate I mean, gay and in control of his saliva! (neutral)",neutral,joy
"See, I see.... big passion in your future. (joy)",joy,joy
Really? (surprise),surprise,surprised
I do. (neutral),neutral,neutral
"Oh Ross, you're so great. [she playfully rubs his head and gets up] (joy)",joy,joy
"That was supposed to be a good thing, I forget why. (neutral)",neutral,neutral
"Just listen, Monica, I, do you know, okay, do you know, I couldn't sleep for like a month because I got like a dot of ink on one of the sofa cushions. (neutral)",neutral,fear
"Well, you-you coulda just turned the cushion over. (neutral)",neutral,neutral
"Yeah, I would've except I had a big spaghetti stain on the other side. (neutral)",neutral,disgust
What?!?! (surprise),surprise,surprised
"Okay, this is what I'm talking about, this. I-I need to live in a land where people can spill. (neutral)",neutral,sadness
You can spill. In the sink. (neutral),neutral,neutral
"Aw, honey it's not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don't see that happening. (sadness)",sadness,sadness
"I love you, too. (joy)",joy,joy
"Aww, good. What? (joy)",joy,joy
What? I'm just said. (sadness),sadness,sadness
"No you're not, you're wondering which cushion it is. (neutral)",neutral,disgust
Oh my God! Are you serious?! (surprise),surprise,surprised
Uh-huh. (neutral),neutral,neutral
I would love to live with you Ross.. that's-that's great! Thank you! (joy),joy,joy
