"_texto_CONCATENAR(#¡REF!,"" ("",G1,"") "")",Original_Label,DeepSeek_r1
I'm just saying. (Statement Non Opinion ) ,xxx,neutral
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things. (Statement Opinion) ",anger,frustrated
Oh.  I ignore what I got to ignore.  That girl is Larry's girl. (Statement Non Opinion ) ,xxx,neutral
She's not Larry's girl. (Disagreement) ,frustrated,frustrated
"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl. (Statement Non Opinion ) ",frustrated,neutral
"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go. (Statement Non Opinion ) ",frustrated,sad
"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time. (Statement Opinion) ",frustrated,sad
"You're a considerate fellow, there's nothing wrong in that. (Statement Opinion) ",frustrated,happy
To hell with that. (Statement Opinion) ,frustrated,frustrated
I just don't see why.  Have you asked Annie yet? (Question) ,frustrated,neutral
I wanted to get this settled first. (Answer) ,neutral,neutral
Well how do you know she's going to marry you?  Maybe she feels the same way your father does. (Question) ,frustrated,fear
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him. (Answer) ",neutral,neutral
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me. (Command) ,neutral,frustrated
The trouble is you don't see enough women.  You never did. (Statement Opinion) ,frustrated,frustrated
So what.  I'm not fast with women. (Statement Opinion) ,frustrated,neutral
Why does it have to be Annie? (Question) ,frustrated,frustrated
Because it is. (Answer) ,frustrated,frustrated
Oh that's a great reason.  It's no reason at all. (Disagreement) ,frustrated,frustrated
I don't know. (Statement Non Opinion ) ,frustrated,neutral
"You haven't seen her since you went away to war, it's been five years. (Statement Non Opinion ) ",frustrated,neutral
"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie. (Statement Non Opinion ) ",frustrated,neutral
"Mom, what do you want?  A diagram? (Question) ",frustrated,frustrated
I don't want a diagram. (Answer) ,frustrated,neutral
He thinks he's coming back Chris. (Statement Non Opinion ) ,frustrated,neutral
"You marry that girl, you are pronouncing him dead... (Statement Non Opinion ) ",frustrated,fear
...and then what's that going to do to your father?  Do you know?  I don't. (Statement Non Opinion ) ,frustrated,fear
"All right, then, Mom. [BREATHING] (Agreement) ",frustrated,neutral
Just give it some more thought. (Command) ,neutral,fear
"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy. (Statement Opinion) ",frustrated,frustrated
"But if I can't do that here, I may have to go somewhere else. (Statement Non Opinion ) ",frustrated,neutral
What the hell is this? (Question) ,anger,surprised
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York. (Statement Non Opinion ) ",neutral,neutral
Are you crazy? (Question) ,xxx,surprised
"I've been a good son for too long, a good sucker. (Statement Opinion) ",frustrated,frustrated
You have a business here.  What the hell is this? (Question) ,anger,fear
The business?  The business doesn't inspire me. (Answer) ,frustrated,frustrated
Oh.  Must you be inspired? (Question) ,anger,frustrated
"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy. (Answer) ",frustrated,frustrated
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it. (Statement Opinion) ",frustrated,neutral
You mean to tell me that you would leave the business over this? (Question) ,frustrated,fear
"On this, I would. (Answer) ",neutral,frustrated
Well you don't want to think like that. (Command) ,frustrated,fear
Then help me stay here. (Command) ,neutral,frustrated
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you. (Statement Non Opinion ) ",anger,neutral
I know that.  Then just help me stay here. (Command) ,frustrated,frustrated
Just don't think like that. (Command) ,anger,fear
Well I am thinking like that. (Statement Non Opinion ) ,frustrated,neutral
"I don't understand you, do I? (Question) ",frustrated,sad
No.  You don't.  I'm a pretty tough guy. (Answer) ,frustrated,frustrated
I can see that. (Agreement) ,frustrated,sad
Why did he invite her here? (Question) ,xxx,frustrated
Why does that bother you? (Question) ,xxx,neutral
"She's been in New York three and an half years, why all of a sudden? (Question) ",xxx,frustrated
Well maybe...maybe he just wanted to see her. (Answer) ,neutral,neutral
Nobody comes seven hundred miles just to see. (Statement Opinion) ,xxx,frustrated
"What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her? (Question) ",xxx,frustrated
[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you. (Statement Non Opinion ) ,frustrated,neutral
He's not going to marry her. (Command) ,anger,anger
How do you know he's even thinking about it? (Question) ,neutral,frustrated
It's got that about it. (Answer) ,anger,frustrated
Oh.  So what. (Backchannel) ,xxx,neutral
"What is going on here, Joe? (Question) ",anger,frustrated
Now listen. (Command) ,frustrated,anger
She is not his girl.  She knows she's not. (Statement Non Opinion ) ,anger,frustrated
You can't read her mind. (Statement Non Opinion ) ,frustrated,neutral
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited. (Question) ",anger,frustrated
How do you know why she waited? (Question) ,neutral,frustrated
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right. (Answer) ",anger,sad
"Hey look, it's a nice day, huh?  Why are we arguing? (Question) ",frustrated,frustrated
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother. (Statement Opinion) ",anger,anger
What do you want me to do? What do you want? (Question) ,frustrated,frustrated
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here. (Answer) ",anger,frustrated
I won't stand for any nonsense. (Statement Non Opinion ) ,anger,anger
Kate. (Others) ,frustrated,neutral
"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look. (Statement Opinion) ",anger,fear
[BREATHING] (Others) ,frustrated,neutral
Calm yourself. (Command) ,frustrated,neutral
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe. (Statement Non Opinion ) ",anger,sad
Okay. Calm yourself. (Command) ,frustrated,neutral
"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all? (Question) ",frustrated,frustrated
"Look at you, you're shaking. (Statement Non Opinion ) ",xxx,neutral
I can't help it. (Statement Non Opinion ) ,frustrated,sad
"What have I got to hide?  What the hell is the matter with you, Kate? (Question) ",anger,frustrated
You're the only one who still loves his parents. (Statement Opinion) ,neutral,happy
"I know.  It kind of went out of style, didn't it? (Question) ",neutral,neutral
It's not so bad; it's a good thing. (Answer) ,neutral,neutral
"[BREATHING] You know, it's lovely here.  The air is sweet. (Statement Opinion) ",neutral,happy
You're not sorry you came. (Question) ,neutral,fear
"I'm not sorry, no. But I'm...I can't stay. (Answer) ",neutral,sad
Why not? (Question) ,xxx,fear
"For one thing, your mother much as told me to go. (Answer) ",neutral,sad
Well. (Backchannel) ,neutral,neutral
"And then, you.  You've been kind of... (Statement Non Opinion ) ",neutral,frustrated
What? (Question) ,neutral,fear
Sort of embarrassed ever since I got here. (Statement Opinion) ,neutral,sad
Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set. (Statement Non Opinion ) ,neutral,frustrated
I knew they would. (Agreement) ,neutral,neutral
You did? (Question) ,xxx,surprised
"Well sure, from your mother's point of view.  Why else would I come? (Answer) ",neutral,frustrated
"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come? (Question) ",xxx,fear
"I, umm. I guess, I guess that's kind of why I came. (Answer) ",neutral,happy
[BREATHING] (Others) ,happy,neutral
"I love you. Annie, I love you. (Statement Non Opinion ) ",happy,excited
[LAUGHTER] (Others) ,happy,happy
"I don't really have any imagination, that's all I know how to say. (Statement Non Opinion ) ",happy,frustrated
[LAUGHTER] (Others) ,happy,happy
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us. (Statement Opinion) ",happy,frustrated
No. No (Disagreement) ,happy,sad
"You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything. (Statement Opinion) ",xxx,frustrated
"Chris, I've been ready a long, long, time. (Statement Non Opinion ) ",neutral,excited
And he's gone forever?  Are you sure? (Question) ,xxx,fear
I almost got married two years ago. (Answer) ,neutral,sad
Why didn't you? (Question) ,xxx,fear
You started to write me. (Answer) ,neutral,happy
You felt something that far back? (Question) ,surprise,surprised
Every day since. (Answer) ,happy,happy
Why didn't you let me know? (Question) ,happy,frustrated
"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me, (Answer) ",xxx,frustrated
Give me a... (Command) ,happy,excited
Give me a kiss. (Command) ,happy,excited
God.  I kissed you Annie. (Statement Non Opinion ) ,xxx,excited
beating around the bush. (Answer) ,happy,neutral
"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me. (Statement Non Opinion ) ",happy,frustrated
"Oh Annie, we are going to live now.  I am going to make you so happy. (Statement Opinion) ",happy,excited
Not like that you're not. (Statement Opinion) ,happy,frustrated
I kissed you. (Statement Non Opinion ) ,happy,neutral
"Like Larry's brother.  Do it like you, Chris. (Command) ",neutral,frustrated
"Chris, what is it? (Question) ",xxx,fear
"Hey, let's drive some place.  Huh?  Let's get out of here. (Command) ",sad,fear
No. What is it?  Is it your mother? (Question) ,xxx,fear
No it's nothing like that. It's- (Answer) ,sad,sad
"Then what?  Chris.  Even in your letters, there was something ashamed. (Question) ",xxx,frustrated
Yeah.  I suppose I have been. But it's going from me. (Answer) ,sad,sad
You've got to tell me. (Command) ,xxx,frustrated
